Impedimenta	Magical	Protego	Blocks targets movements	Goblet – Book
Imperio	Prohibited	-	It allows you to completely Countol a person's actions	Goblet – Book
Impervius	Defensive	-	The target becomes waterproof	Hallows – Book
Imposium	Generic	 -	Calm the animals and evoked animals	Animali fantastici
Inanimatus Conjurus	Conjuration	Finite	Conjures a small inanimate object	Order – Book
Maxima	Generic	Scutum/Protego/Finite + Maxima	Added after the spell boosts it. Defend yourself by adding Maxima to the defense spell.	Goblet – Movie
Incarceramus	Physical	Scutum	Throws ropes against the target to trap him	Order – Book
Incendio	Elemental	Scutum	Throws tongues of fire from the wand	Stone – Videogame
Inflatus	Magical	Protego	Inflate objects and creatures until they explode	Prisoner – Book
Kumquats	Transfiguration	Protego	Turns the ears into tangerines (kumquats)	Fenice – Book
Lacarnum inflamare	Elemental	Scutum	It emits a small sphere of fire that can set fire	Stone – Movie
Laetus	Generic	Protego	The target bursts out laughing	Prisoner – Book
Languelingua	Magical	Protego	Glues the tongue to the palate	Prince – Book
Lapifors	Transfiguration	Finite	Turn small objects into tender rabbits	Prisoner – Videogame
Legilimens	Magical	Protego	Allows you to read the target's thoughts. Count: Occlumens	Order – Book
Levicorpus	Magical	Protego	Hangs the target upside down for air	Order – Book
Liberacorpus	Defensive	 -	Frees a creature from a magic constraint. Count: Levicorpus	Order – Book
Locomotor	Generic	Finite	Allows you to Countol the movements of a remote object	Order – Book
Locomotor Mortis	Magical	Protego	Attach the target's legs together	Stone – Book
Locomotor Wibbly	Magical	Protego	It weakens the target's legs and makes him fall	Stone – Videogame
Lumos Solem	Physical	Scutum	It creates an intense light that blinds the target	Stone – Movie
Mangialumache	Magical	Protego	The target vomits large snails	Chamber – Movie
Slugulus Eructo	Magical	Protego	The target vomits large snails	Chamber – Movie
Melofors	Transfiguration	Protego	Transforms the target's head into a pumpkin	Prisoner – Videogame
Mimble Wimble	Magical	Protego	Twists the target's tongue	Hallows – Book
Mobiliarbus	Generic	Finite	Moves a tree or a wooden object	Prisoner – Book
Molliare	Transfiguration	Defensive	Makes the targeted object soft	Cursed Child
Monstrum	Transfiguration	Protego	He turns the target mucus into black bats and throws them against him	Order – Book
Morsmordre	Prohibited	-	It evokes the Black Mark	Goblet – Book
Mucus ad Naueseam	Generic	Protego	It causes nausea and cold to the target	Stone – Book
Muffliato	Generic	-	Tones down voices and noises. Count: Fastrunom, not Silencio	Prince – Book
Oblivion	Generic	(Obliviate) Protego	Erases the target's memory	Chamber – Book
Obliviate	Generic	(Oblivion) Protego	Erases the target's memory	Chamber – Book
Obscuro	Generic	Finite	It evokes a band on the target's eyes	Hallows – Book
Occlumens	Defensive	 -	Count: Legilimens	Order – Book
Oppugno	Generic	Finite	Orders to animals or creatures evoked to attack a target. Count: Imposium	Chamber – Book
Orbis	Generic	Protego	Brings to the ground an object or creature that is levitating	Goblet – Videogame
Orchideous	Conjuration	Finite	A bunch of flowers appear from the wand	Goblet – Book
Paperante	Transfiguration	Protego	Transforms the target into a duck	Goblet – Videogame
Ducklifors	Transfiguration	-	Transforms the target into a duck. Defense with Protego if it's casted on you, Finite otherwise.	Goblet – Videogame
Partis Temporus	Defensive	 -	Creates a hole or divides target's elemental magic	Prince – Book
Partis Temporis	Defensive	 -	Creates a hole or divides target's elemental magic	Prince – Book
Petrificus Totalus	Magical	Protego	Immobilizes the target	Stone – Book
Piertotum Locomotor	Generic	Finite	Moves a statue or an armor	Hallows – Book
Protego	Defensive	-	It evokes a defensive magic force that protects against any magic attack	Goblet – Book
Pullus	Transfiguration	Protego	Turns the target into a chicken or goose	Goblet - Videogame
Quietus	Defensive	-	Count: Sonorus, not Silencio	Goblet – Book
Redactum Skullus	Transfiguration	Protego	Shrinks the target's head. Count: Engorgio Skullus	Lego1-4 – Videogame
Reducio	Generic	 -	Shrinks objects and creatures - Count: Engorgio	Goblet – Book
Reducto	Physical	Scutum	Breaks objects	Order – Book
Reinnerva	Defensive	 -	Count: Stupeficium	Goblet – Book
Relascio	Generic	Scutum	Quickly pushes an object that you could physically move. Count: Accio	Goblet – Book
Reparo	Generic	-	Repairs something broken or shattered	Prisoner – Book
Rictusempra	Magical	Protego	Tickles the target	Chamber – Book
Sagitta	Physical	Scutum	Shoots a silver arrow from the wand	Quidditch
Scutum	Defensive	  -	It evokes a material shield that protects against physical or elemental attacks	CD
Sectumsempra	Prohibited	 -	It creates very serious cutting injuries on the target	Prince – Book
Serpensortia	Conjuration	Finite	Conjures a snake. Count: Vipera Evanesca	Chamber – Book
Silencio	Magical	Protego	Mutes the target	Order – Book
Sonorus	Magical	Protego	It emits sound waves that damage the target	Prisoner – Videogame
Steleus	Magical	Protego	Makes the target sneeze	Prisoner – Videogame
Stupeficium	Magical	Protego	Throws a ray that makes that makes the target faint	Goblet – Book
Tarantallegra	Magical	Protego	It forces the target dance	Chamber – Book
Tentaclifors	Transfiguration	Protego	Turns the target's head into a tentacle	HP lego
Terradominus	Physical	Finite	Increases gravity in the area, preventing from flying or levitating	Fandom
Titillando	Magical	Protego	It tickles and weakens the target	Carte
Ventus	Elemental	Scutum	Shoot a violent wind from the wand	Goblet – Videogame
Verdimillious	Physical	Scutum	Shoot small sparks from the wand	Stone – Gioco
Vermiculus	Transfiguration	Protego	Turns the target into a worm	Goblet - Videogame
Vipera Evanesca	Defensive	-	Disappears a snake that has been evoked. Count: Serpensortia	Chamber – Book
Volate Ascenderai	Magical	Protego	(Alarte Ascendere) Launches the target upwards	Chamber – Book
Waddiwasi	Generic	Scutum	Launches small objects into the air	Prisoner – Book
Wingardium Leviosa	Generic	Finite	Float an object in the air and let it move slowly	Stone – Book
Zilerius	Magical	Protego	Fills the target's lungs with water, taking his breath away	Fandom
Brachiabindo	Magical	Protego	Alloy arms and legs to the target's body with a magical force. Count: Emancipare	Cursed Child
